,,BTU5,,,CP1,,,BTU1,,,BTU2,,,BTU3,,,,,,,,,,,BTU4,,,,,,,,,,,P-HP4,,,,HEX-1,,,Hybrid Switch,,
Day,Hour,EWT,F1,T1,EWT,Flow,T2,EWT,Flow,T3,EWT,Flow,LWT,EWT,Flow,Heating Load,COP,HE,Heating DeltaT,Cooling Load,EER,HR,Cooling DeltaT,LWT,EWT,Flow,Heating Load,COP,HE,Heating DeltaT,Cooling Load,EER,HR,Cooling DeltaT,LWT,Ambient Temp,EWT,Flow,LWT,EWT,Flow,LWT,EWT,Flow,LWT
2,39,45.10,1361.41,47.15,50.00,0.00,50.00,50.00,0.00,78.00,45.57,1361.41,45.89,45.89,871.30,-2819370.18,3.93,-2102367.11,-5.21,1494775.79,26.57,1686700.42,4.18,44.85,45.89,490.11,-432400.57,3.93,-322435.39,-1.42,229250.46,26.57,258685.51,1.14,45.60,25.00,50.00,0.00,50.00,50.00,0.00,50.00,45.89,490.11,45.89
2,40,45.12,1333.85,47.21,50.00,0.00,50.00,50.00,0.00,78.00,47.15,1333.85,47.47,47.47,853.66,-2786410.40,4.02,-2093104.56,-5.30,1445569.78,26.09,1634646.15,4.14,46.31,47.47,480.19,-427345.60,4.02,-321014.82,-1.44,221703.84,26.09,250702.06,1.13,47.15,25.00,50.00,0.00,50.00,50.00,0.00,50.00,47.47,480.19,47.47
2,41,46.61,1243.21,48.38,50.00,0.00,50.00,50.00,0.00,78.00,47.21,1243.21,47.53,47.53,795.65,-2682276.01,4.02,-2015442.50,-5.47,1279493.09,26.07,1446969.18,3.93,45.99,47.53,447.56,-411374.74,4.02,-309103.96,-1.49,196233.03,26.07,221918.46,1.07,47.11,25.00,50.00,0.00,50.00,50.00,0.00,50.00,47.53,447.56,47.53
2,42,46.39,1142.26,48.35,50.00,0.00,50.00,50.00,0.00,78.00,48.38,1142.26,48.69,48.69,731.05,-2703656.66,4.09,-2041964.27,-6.03,957172.23,25.71,1084197.88,3.20,45.86,48.69,411.21,-414653.84,4.09,-313171.54,-1.64,146799.39,25.71,166281.03,0.87,47.92,25.00,50.00,0.00,50.00,50.00,0.00,50.00,48.69,411.21,48.69
2,43,46.60,1255.96,48.35,50.00,0.00,50.00,50.00,0.00,78.00,48.35,1255.96,48.67,48.67,803.81,-2789382.13,4.08,-2106486.39,-5.66,1210393.07,25.72,1370976.71,3.68,46.69,48.67,452.14,-427801.37,4.08,-323067.16,-1.54,185635.31,25.72,210263.67,1.00,48.13,23.00,50.00,0.00,50.00,50.00,0.00,50.00,48.67,452.14,48.67
2,44,47.21,1203.77,48.82,50.00,0.00,50.00,50.00,0.00,78.00,48.35,1203.77,48.67,48.67,770.41,-2697293.34,4.08,-2036970.60,-5.71,1146900.85,25.72,1299066.66,3.64,46.60,48.67,433.36,-413677.91,4.08,-312405.67,-1.56,175897.65,25.72,199234.98,0.99,48.11,22.00,50.00,0.00,50.00,50.00,0.00,50.00,48.67,433.36,48.67
2,45,47.14,1159.22,48.83,50.00,0.00,50.00,50.00,0.00,78.00,48.82,1159.22,49.14,49.14,741.90,-2747990.09,4.11,-2079473.70,-6.05,963397.91,25.57,1091940.47,3.18,46.27,49.14,417.32,-421453.16,4.11,-318924.28,-1.65,147754.21,25.57,167468.49,0.87,48.36,21.00,50.00,0.00,50.00,50.00,0.00,50.00,49.14,417.32,49.14
2,46,47.02,1136.44,48.77,50.00,0.00,50.00,50.00,0.00,78.00,48.83,1136.44,49.14,49.14,727.32,-2835123.40,4.11,-2145430.23,-6.37,808336.04,25.57,916192.17,2.72,45.49,49.14,409.12,-434816.60,4.11,-329039.89,-1.74,123972.71,25.57,140514.37,0.74,48.15,20.00,50.00,0.00,50.00,50.00,0.00,50.00,49.14,409.12,49.14
2,47,46.45,570.00,49.18,50.00,0.00,50.00,50.00,0.00,78.00,48.77,570.00,49.06,49.06,364.80,-334558.50,4.11,-253078.00,-1.50,596740.05,25.60,676280.76,4.00,51.56,49.06,205.20,-51310.50,4.11,-38814.01,-0.41,91520.70,25.60,103719.68,1.09,49.74,19.00,50.00,0.00,50.00,50.00,0.00,50.00,49.06,205.20,49.06
2,48,50.91,570.00,51.21,50.00,0.00,50.00,50.00,0.00,78.00,49.18,570.00,49.47,49.47,364.80,-332448.16,4.13,-251921.19,-1.49,422387.49,25.47,478966.49,2.84,50.81,49.47,205.20,-50986.84,4.13,-38636.59,-0.41,64780.63,25.47,73458.03,0.77,49.83,19.00,50.00,0.00,50.00,50.00,0.00,50.00,49.47,205.20,49.47
